"","ariv_int","idh_20","gini","gdp_cap","alphab","dens_pop","pop_urb","age_median","esp_vie","p65ans","prev_cvlds","prev_ch.resp","prev_diab","prev_malaria","prev_nutdef","pref_respdtub","prev_alco","med_1000","health_exp","lack_hygien","immuniz_dtp1","immuniz_bcg","pm25","hous_fossf","epi","lat_abs","pr_cum","ws2m_avg","rh2m_avg","tdew_avg","tmax_avg","tmin_avg","tmoy_avg","insol_avg","conf_pm","deaths_pm"
"ariv_int",1,0.497474509073198,0.0260730350116998,0.341337907375643,0.41558986087288,0.139089003239947,0.0530970078139889,0.320712289150693,0.249018486754336,0.26190203926053,0.514999047074519,0.467505241090147,0.574690299218601,-0.0929141599494461,0.275471698113208,0.401410329712216,0.124073262329801,0.358840481471787,0.435715647036402,-0.463063200763347,0.333731553291894,0.334250739627575,-0.296893462931199,0.4328218832197,0.458925781839227,0.316333142748237,-0.292776824852297,0.0362492853058891,-0.14991423670669,-0.351095864303411,-0.40461215932914,-0.524833238040785,-0.596569468267581,0.0122355631789594,0.34400609872308,0.348732609109968
"idh_20",0.497474509073198,1,0.061395650368187,0.859353858853418,0.819937104647924,0.11794529740019,0.550119129535273,0.724045248852093,0.645916328102396,0.4966358547284,-0.0562279617534841,-0.132202421261751,0.0718574290883508,-0.537121741082229,-0.33149719010732,-0.189383399316142,0.260483379836077,0.788366259734267,0.817649865525749,-0.78954692007173,0.342509337921779,0.453197202194375,-0.319412943411826,0.880442241707968,0.617658832387618,0.230706186123448,-0.207566950337438,0.138149242979408,0.0988468507300232,-0.0441437150579895,-0.539635950225302,-0.280186792466514,-0.497017061248763,-0.101172210504235,0.740912992976757,0.660020969355812
"gini",0.0260730350116998,0.061395650368187,1,0.0303041854302651,0.264199131090777,-0.0740641915610127,-0.0278646032069482,-0.101925648212418,-0.309217046805422,-0.214035221623822,-0.231036060242562,-0.226080658851449,-0.266448120952897,0.0341906615110666,-0.216360448430421,-0.16257528410073,0.387329178411023,-0.0684612210095917,0.0900358314292908,0.0410742194945298,-0.0696193619255618,0.0317800498446229,-0.352595868213776,-0.129005203878264,0.00489859713683176,-0.105778760464133,0.281657391376388,-0.146451170343495,0.302965617358172,0.209270412593906,-0.332354959454694,-0.0502401464114332,-0.222688114822149,-0.348288480850732,0.212662956623206,0.162079743961619
"gdp_cap",0.341337907375643,0.859353858853418,0.0303041854302651,1,0.668305698494378,-0.0338860301124452,0.62652944539737,0.688400864145359,0.459195730893844,0.47619592147894,-0.201143510577473,-0.289498761196874,-0.0695635601295979,-0.52837058432032,-0.393558223746903,-0.295216314084239,0.21910080241834,0.770374534135388,0.812235563178959,-0.611115346940893,0.129818512473177,0.356060495350047,-0.162569087097389,0.818069192698148,0.487630085662213,0.220354488279017,-0.300476462740614,0.112559557842577,-0.0110920526014866,-0.0521821993520107,-0.283857442348008,-0.118810748999428,-0.272803506765771,-0.0496664760815704,0.69430150562226,0.550676577091671
"alphab",0.41558986087288,0.819937104647924,0.264199131090777,0.668305698494378,1,0.0710882408995616,0.402401372212693,0.576374624040171,0.496931579950448,0.345225843339051,-0.161654278635411,-0.220125786163522,-0.0678864112826377,-0.4445761304193,-0.373279969506385,-0.260072422336573,0.404429282125712,0.621212999648096,0.686983037926434,-0.693336891561122,0.335645151647925,0.452542882311452,-0.470935772822565,0.714495381115628,0.593794077889329,0.0735277301315037,-0.0752048789784639,0.0640747093577282,0.256260720411664,0.0713169430150562,-0.615932914046122,-0.220506956356013,-0.493119878025538,-0.202896893462931,0.690642271774347,0.59199542595769
"dens_pop",0.139089003239947,0.11794529740019,-0.0740641915610127,-0.0338860301124452,0.0710882408995616,1,-0.220125786163522,0.048082058806209,0.151667619592148,-0.0203163712597675,-0.00926243567753002,0.0171907756813417,-0.0415094339622641,0.073072121685088,-0.0605679435868115,-0.019706498951782,0.278945663204143,-0.0979936123500303,0.00827139317705355,-0.115842037135315,0.48961327537422,0.340132880400361,-0.0703259005145798,0.0370532737792451,-0.0332786948704747,-0.235677530017153,0.326853440060987,-0.070020964360587,0.43030303030303,0.364665523156089,-0.363903182771107,0.168972746331237,-0.0791690489803697,-0.317552887364208,0.0191728606822946,-0.059576901086335
"pop_urb",0.0530970078139889,0.550119129535273,-0.0278646032069482,0.62652944539737,0.402401372212693,-0.220125786163522,1,0.399412819980206,0.325938631599009,0.327768248522965,-0.184753192300362,-0.262435677530017,-0.0882408995616543,-0.383294758395148,-0.309853249475891,-0.278597293691633,0.0141416836633967,0.469039286258229,0.519191919191919,-0.458527102566867,-0.0861501979885382,0.0713877993788068,0.140689918048409,0.645115794409634,0.242099646188299,0.0568324757004002,-0.179874213836478,0.0876310272536688,0.0444063274251953,0.151362683438155,0.023746902992186,0.1410710882409,0.0489803697350867,-0.0942633886030112,0.485725176291214,0.420316371259767
"age_median",0.320712289150693,0.724045248852093,-0.101925648212418,0.688400864145359,0.576374624040171,0.048082058806209,0.399412819980206,1,0.601845532273753,0.825478581360522,-0.240410294031045,-0.311751715146364,-0.131281941688959,-0.724024925124657,-0.513459955499136,-0.381682322482278,-0.0541839078239515,0.67701412421432,0.725234542818474,-0.720533875279408,0.294374158507447,0.488327941756665,-0.350530029028929,0.74372225672104,0.454755202290231,0.380347768907165,-0.252116235389892,0.166132855050478,-0.0187981403580183,-0.0513231174886259,-0.328834000907808,-0.166552286174085,-0.319759036597041,-0.0234881429219863,0.737550565811658,0.626248797647246
"esp_vie",0.249018486754336,0.645916328102396,-0.309217046805422,0.459195730893844,0.496931579950448,0.151667619592148,0.325938631599009,0.601845532273753,1,0.562187916904898,0.0255002858776444,-0.00545073375262054,0.103792643415285,-0.497386478415208,-0.207928340003812,-0.124604535925291,-0.133831405235002,0.498652525599136,0.364665523156089,-0.74445376283406,0.529301305278313,0.494176216352596,-0.245740423098914,0.686705425781194,0.493805513576322,0.238117019249095,-0.255422145988184,0.274861825805222,-0.0566800076234038,-0.109662664379645,-0.261597103106537,-0.126052982656756,-0.194434915189632,0.196417000190585,0.513550600343053,0.451953497236516
"p65ans",0.26190203926053,0.4966358547284,-0.214035221623822,0.47619592147894,0.345225843339051,-0.0203163712597675,0.327768248522965,0.825478581360522,0.562187916904898,1,-0.153039832285115,-0.213569658852678,-0.0469220506956356,-0.696035807654147,-0.394549266247379,-0.286373165618449,-0.256151251261525,0.479171160748711,0.50356394129979,-0.608675764717576,0.235908405331563,0.400864074093407,-0.317629121402706,0.57920518703894,0.362787329991189,0.510882408995616,-0.401562797789213,0.314503525824281,-0.194739851343625,-0.130855727082142,-0.123994663617305,-0.0920526014865637,-0.113321898227559,0.118353344768439,0.537411854392986,0.487859729369163
